Pessoa1,Pessoa2,Pessoa3,sacristao,padre
7,70,5,41,15
25,2,49,38,45
5,35,14,27,23
7,50,7,32,36
7,10,35,26,22
98,25,1,62,7
14,5,35,27,30
98,5,5,54,20
35,35,2,36,5
98,5,5,54,39
35,2,35,36,22
25,14,7,23,14
7,70,5,41,5
14,35,5,27,22
7,7,50,32,45
70,7,5,41,28
5,10,49,32,17
10,5,49,32,39
50,49,1,50,23
70,35,1,53,63
49,50,1,50,19
7,35,10,26,23
5,7,70,41,23
14,5,35,27,25
7,14,25,23,20
98,5,5,54,23
35,70,1,53,69
1,98,25,62,73
49,10,5,32,31
1,98,25,62,66
5,10,49,32,11
1,70,35,53,62
98,1,25,62,8
1,50,49,50,23
1,70,35,53,16
25,1,98,62,28
49,5,10,32,10
98,25,1,62,2
1,35,70,53,41
5,5,98,54,72
7,7,50,32,29
49,1,50,50,18
25,1,98,62,20
2,35,35,36,20
35,10,7,26,19
5,98,5,54,47
49,25,2,38,21
70,1,35,53,8
98,1,25,62,94
50,1,49,50,16
70,5,7,41,27
7,50,7,32,25
50,7,7,32,42
98,5,5,54,4
5,5,98,54,72
98,1,25,62,47
14,5,35,27,27
5,5,98,54,3
25,14,7,23,23
2,49,25,38,20
49,1,50,50,8
5,7,70,41,30
49,10,5,32,8
7,7,50,32,28
5,98,5,54,37
25,2,49,38,23
5,70,7,41,52
35,35,2,36,22
7,5,70,41,13
7,70,5,41,9
14,5,35,27,13
7,7,50,32,7
98,5,5,54,36
25,1,98,62,4
98,5,5,54,84
50,1,49,50,23
98,25,1,62,47
7,7,50,32,32
25,98,1,62,36
35,70,1,53,59
5,98,5,54,54
1,35,70,53,43
7,14,25,23,1
70,1,35,53,59
2,49,25,38,23
70,5,7,41,69
1,98,25,62,42
7,50,7,32,38
7,70,5,41,38
25,98,1,62,7
7,5,70,41,34
7,5,70,41,54
50,7,7,32,36
5,98,5,54,39
35,5,14,27,13
70,7,5,41,8
1,35,70,53,53
2,49,25,38,47
35,70,1,53,31
5,49,10,32,6
